Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
120039 PORTO WALTER;2,91;88;3026
120040 RIO BRANCO;8,69;13042;150044
120042 RODRIGUES ALVES;6,96;299;4299
120043 SANTA ROSA DO PURUS;4,22;49;1160
120045 SENADOR GUIOMARD;7,28;586;8046
120050 SENA MADUREIRA;8,66;1300;15014
120060 TARAUACA;3,67;405;11026
120070 XAPURI;4,48;294;6565
120080 PORTO ACRE;3,57;161;4508
130002 ALVARAES;3,09;109;3528
130006 AMATURA;8;176;2200
130008 ANAMA;7,87;306;3888
130010 ANORI;9,38;584;6224
130014 APUI;6,69;518;7748
130020 ATALAIA DO NORTE;7,99;405;5070
130030 AUTAZES;5,26;577;10973
130040 BARCELOS;9,93;546;5499
130050 BARREIRINHA;11,43;1010;8840
130060 BENJAMIN CONSTANT;6,13;709;11574
130063 BERURI;5,5;259;4705
130068 BOA VISTA DO RAMOS;7,3;360;4933
130070 BOCA DO ACRE;8,14;827;10155
130080 BORBA;10;1212;12126
130083 CAAPIRANGA;4,91;165;3363
130090 CANUTAMA;4,69;222;4735
130100 CARAUARI;3,84;334;8698
130110 CAREIRO;6,91;596;8624
130115 CAREIRO DA VARZEA;3,77;300;7949
130120 COARI;10,51;2780;26462
130130 CODAJAS;9,11;727;7980
130140 EIRUNEPE;7,68;865;11268
130150 ENVIRA;11,84;587;4958
130160 FONTE BOA;6,15;462;7514
130165 GUAJARA;3,72;121;3252
130170 HUMAITA;9,45;1426;15095
130180 IPIXUNA;5,07;302;5960
130185 IRANDUBA;5,9;866;14677
130190 ITACOATIARA;8,99;3012;33513
130195 ITAMARATI;5,86;104;1774
130200 ITAPIRANGA;9,82;274;2789
130210 JAPURA;11,28;271;2403
130220 JURUA;7,67;311;4056
130230 JUTAI;5,19;294;5665
130240 LABREA;8,75;1230;14050
130250 MANACAPURU;9,51;3070;32277
130255 MANAQUIRI;7,46;565;7576
130260 MANAUS;10,79;89320;827756
130270 MANICORE;7,33;1243;16966
130280 MARAA;17,67;860;4867
130290 MAUES;4,3;779;18101
130300 NHAMUNDA;14,3;831;5810
130310 NOVA OLINDA DO NORTE;5,84;637;10902
130320 NOVO AIRAO;5,78;302;5225
130330 NOVO ARIPUANA;8,58;686;7998
130340 PARINTINS;8,68;3181;36641
130350 PAUINI;10,55;643;6096
130353 PRESIDENTE FIGUEIREDO;5,63;639;11351
130356 RIO PRETO DA EVA;15,74;1707;10845
130360 SANTA ISABEL DO RIO NEGRO;5,71;244;4272
130370 SANTO ANTONIO DO ICA;7,18;460;6410
130380 SAO GABRIEL DA CACHOEIRA;4,33;448;10335
130390 SAO PAULO DE OLIVENCA;3,54;399;11278
130395 SAO SEBASTIAO DO UATUMA;1,85;74;3998
130400 SILVES;10,55;306;2901
130406 TABATINGA;7,81;1400;17932
130410 TAPAUA;4,82;347;7201
130420 TEFE;6,58;1394;21183
130423 TONANTINS;6;314;5234
130426 UARINI;1,52;67;4414
130430 URUCARA;6,24;358;5733
130440 URUCURITUBA;8,71;547;6281
140002 AMAJARI;21,71;388;1787
140005 ALTO ALEGRE;4,53;240;5295
140010 BOA VISTA;7,33;9731;132677
140015 BONFIM;5,95;216;3632
140017 CANTA;5,19;220;4239
140020 CARACARAI;8,31;554;6664
140023 CAROEBE;7,4;245;3311
140028 IRACEMA;12,19;391;3208
140030 MUCAJAI;6,16;300;4868
140040 NORMANDIA;27,76;697;2511
140045 PACARAIMA;4,66;149;3200
140047 RORAINOPOLIS;6,09;574;9423
140050 SAO JOAO DA BALIZA;6,87;198;2882
140060 SAO LUIZ;8,85;193;2181
140070 UIRAMUTA;1,68;38;2267
150010 ABAETETUBA;8,55;4766;55748
150013 ABEL FIGUEIREDO;10,97;300;2735
150020 ACARA;7,31;1491;20403
150030 AFUA;11,76;1185;10077
150034 AGUA AZUL DO NORTE;13,52;1204;8908
150040 ALENQUER;6,56;1197;18247
150050 ALMEIRIM;10,67;1449;13582
150060 ALTAMIRA;6,63;2884;43504
150070 ANAJAS;5,99;443;7398
150080 ANANINDEUA;10,98;24321;221552
150085 ANAPU;3,59;312;8682
150090 AUGUSTO CORREA;3,81;446;11709
150095 AURORA DO PARA;8,01;581;7256
150100 AVEIRO;6,07;312;5141
150110 BAGRE;12,11;826;6821
150120 BAIAO;4,1;572;13960
150125 BANNACH;6,16;84;1364
150130 BARCARENA;13,11;5368;40955
150140 BELEM;10,07;65946;654787
150145 BELTERRA;12,01;655;5453
150150 BENEVIDES;13,6;3034;22315
150157 BOM JESUS DO TOCANTINS;6,23;385;6181
150160 BONITO;6,55;352;5371
150170 BRAGANCA;5,75;2424;42170
150172 BRASIL NOVO;4,05;245;6049
150175 BREJO GRANDE DO ARAGUAIA;3,94;107;2715
150178 BREU BRANCO;12,69;2293;18066
150180 BREVES;8,46;2563;30290
150190 BUJARU;3,27;294;8980
150195 CACHOEIRA DO PIRIA;4,98;389;7814
150200 CACHOEIRA DO ARARI;10,34;706;6825
150210 CAMETA;6,49;2961;45658
150215 CANAA DOS CARAJAS;10,75;1270;11809
150220 CAPANEMA;8,88;2366;26652
150230 CAPITAO POCO;5,83;1205;20682
150240 CASTANHAL;9,52;7002;73547
150250 CHAVES;6,15;397;6451
150260 COLARES;4,85;190;3914
150270 CONCEICAO DO ARAGUAIA;7,01;1310;18696
150275 CONCORDIA DO PARA;5,04;535;10608
150276 CUMARU DO NORTE;7,63;339;4442
150277 CURIONOPOLIS;11,39;716;6286
150280 CURRALINHO;6,76;607;8982
150285 CURUA;3,66;156;4267
150290 CURUCA;8,1;880;10868
150293 DOM ELISEU;12,93;2803;21683
150295 ELDORADO DOS CARAJAS;5,84;667;11423
150300 FARO;2,71;69;2544
150304 FLORESTA DO ARAGUAIA;12,54;821;6545
150307 GARRAFAO DO NORTE;2,52;250;9929
